,ESTACION,MUNICIPIO,PROVINCIA,UTMx,UTMy
1,EL BOTICARIO,ALMERÍA,ALMERÍA,554327,4080065
2,MEDITERRANEO,ALMERÍA,ALMERÍA,549331,4077414
3,BÉDAR,BÉDAR,ALMERÍA,590047,4116812
4,BENAHADUX,BENAHADUX,ALMERÍA,547809,4086476
5,CARBONERAS,CARBONERAS,ALMERÍA,598587,4095385
6,T.M. CTLA (SUP),CARBONERAS,ALMERÍA,597461,4093028
7,T.M. CTLA (10 MTS),CARBONERAS,ALMERÍA,597461,4093028
8,T.M. CTLA (30 MTS),CARBONERAS,ALMERÍA,597461,4093028
9,T.M. CTLA (60 MTS),CARBONERAS,ALMERÍA,597461,4093028
10,PLAZA DEL CASTILLO,CARBONERAS,ALMERÍA,598293,4095086
11,PALOMARES,CUEVAS DEL ALMANZORA,ALMERÍA,608036,4123853
12,T.M. VILLARICOS,CUEVAS DEL ALMANZORA,ALMERÍA,609489,4124293
13,VILLARICOS,CUEVAS DEL ALMANZORA,ALMERÍA,609007,4123562
14,EL EJIDO,EL EJIDO,ALMERÍA,516870,4069344
15,MOJÁCAR,MOJÁCAR,ALMERÍA,602830,4110897
16,CAMPOHERMOSO,NÍJAR,ALMERÍA,577638,4087889
17,RODALQUILAR,NÍJAR,ALMERÍA,585750,4078382
18,LA JOYA,NÍJAR,ALMERÍA,592465,4089830
19,FERNÁN PÉREZ,NÍJAR,ALMERÍA,584936,4083660
20,ALGAR,ALGAR,CÁDIZ,262092,4059306
21,E4:RINCONCILLO,ALGECIRAS,CÁDIZ,280289,4004653
22,ALGECIRAS EPS,ALGECIRAS,CÁDIZ,279239,4001847
23,ARCOS,ARCOS DE LA FRONTERA,CÁDIZ,255018,4069513
24,JÉDULA,ARCOS DE LA FRONTERA,CÁDIZ,239184,4070198
25,T.M. ARCOS,ARCOS DE LA FRONTERA,CÁDIZ,248497,4061871
26,Avda. MARCONI,CÁDIZ,CÁDIZ,207258,4045046
27,CARTUJA,JEREZ,CÁDIZ,221619,4061772
28,JEREZ-CHAPÍN,JEREZ,CÁDIZ,221473,4064853
29,E7:EL ZABAL,LA LÍNEA DE LA CONCEPCIÓN,CÁDIZ,289371,4005695
30,LA LINEA,LA LÍNEA DE LA CONCEPCIÓN,CÁDIZ,288757,4004181
31,E1: COLEGIO LOS BARRIOS,LOS BARRIOS,CÁDIZ,276184,4007408
32,E2:ALCORNOCALES,LOS BARRIOS,CÁDIZ,260630,4013178
33,E5: PALMONES,LOS BARRIOS,CÁDIZ,281205,4006069
34,T.M.-CTLB(15MTS),LOS BARRIOS,CÁDIZ,282663,4006747
35,LOS BARRIOS,LOS BARRIOS,CÁDIZ,276884,4006254
36,CORTIJILLOS,LOS BARRIOS,CÁDIZ,280980,4007826
37,PRADO REY,PRADO DEL REY,CÁDIZ,274120,4075065
38,RÍO SAN PEDRO,PUERTO REAL,CÁDIZ,211209,4046780
39,SAN FERNANDO,SAN FERNANDO,CÁDIZ,212959,4039808
40,E3: COLEGIO CARTEYA,SAN ROQUE,CÁDIZ,285021,4009758
41,E6: ESTACION DE FFCC S. ROQUE,SAN ROQUE,CÁDIZ,281534,4010206
42,CAMPAMENTO,SAN ROQUE,CÁDIZ,286237,4006469
43,E. DE HOSTELERIA,SAN ROQUE,CÁDIZ,285698,4009196
44,ECONOMATO,SAN ROQUE,CÁDIZ,285910,4007229
45,GUADARRANQUE,SAN ROQUE,CÁDIZ,283147,4006841
46,MADREVIEJA,SAN ROQUE,CÁDIZ,283811,4009303
47,T. M. CEPSA (10 MTS),SAN ROQUE,CÁDIZ,284174,4008114
48,T. M. CEPSA (60 MTS),SAN ROQUE,CÁDIZ,284174,4008114
49,PUENTE MAYORGA,SAN ROQUE,CÁDIZ,285741,4006559
50,LEPANTO,CÓRDOBA,CÓRDOBA,345040,4195364
51,PARQUE JOYERO,CÓRDOBA,CÓRDOBA,340299,4193525
52,AVDA. AL-NASIR,CÓRDOBA,CÓRDOBA,343476,4195292
53,POBLADO,ESPIEL,CÓRDOBA,331073,4219567
54,OBEJO,OBEJO,CÓRDOBA,342092,4222045
55,VILLAHARTA,VILLAHARTA,CÓRDOBA,333143,4222831
56,CIUDAD DEPORTIVA,ARMILLA,GRANADA,444999,4110090
57,PALACIO DE CONGRESOS,GRANADA,GRANADA,446721,4113421
58,GRANADA-NORTE,GRANADA,GRANADA,445628,4116803
59,MOTRIL,MOTRIL,GRANADA,453818,4066501
60,MATALASCAÑAS,ALMONTE,HUELVA,182328,4102622
61,ROMERALEJO,HUELVA,HUELVA,152450,4131724
62,CAMPUS EL CARMEN,HUELVA,HUELVA,151975,4132214
63,LA ORDEN,HUELVA,HUELVA,150819,4133169
64,LOS ROSALES,HUELVA,HUELVA,151848,4130960
65,MARISMAS DEL TITAN,HUELVA,HUELVA,150329,4130181
66,POZO DULCE,HUELVA,HUELVA,150958,4130241
67,T.M.PUNTA DEL SEBO,HUELVA,HUELVA,149593,4127880
68,T.M.TARTESSOS,HUELVA,HUELVA,157625,4135871
69,EL ARENOSILLO,MOGUER,HUELVA,168146,4112948
70,MOGUER,MOGUER,HUELVA,160074,4133002
71,MAZAGÓN,MOGUER,HUELVA,161755,4116505
72,NIEBLA,NIEBLA,HUELVA,174188,4140988
73,TORREARENILLA,PALOS DE LA FRONTERA,HUELVA,153385,4123132
74,LA RABIDA,PALOS DE LA FRONTERA,HUELVA,152031,4124237
75,PALOS,PALOS DE LA FRONTERA,HUELVA,154934,4126284
76,T.M.CEPSA RÁBIDA,PALOS DE LA FRONTERA,HUELVA,152532,4122512
77,PUNTA UMBRIA,PUNTA UMBRÍA,HUELVA,148070,4122836
78,SAN JUAN DEL PUERTO,SAN JUAN DEL PUERTO,HUELVA,159270,4136797
79,BAILEN,BAILÉN,JAÉN,431261,4216416
80,RONDA DEL VALLE,JAÉN,JAÉN,431177,4181976
81,LAS FUENTEZUELAS,JAÉN,JAÉN,428647,4182208
82,VILLANUEVA DEL ARZOBISPO,VILLANUEVA DEL ARZOBISPO,JAÉN,499105,4224614
83,CAMPILLOS,CAMPILLOS,MÁLAGA,335765,4092280
84,AVENIDA JUAN XXIII,MÁLAGA,MÁLAGA,370966,4063575
85,EL ATABAL,MÁLAGA,MÁLAGA,369138,4065873
86,CARRANQUE,MÁLAGA,MÁLAGA,370732,4064748
87,CAMPANILLAS,MÁLAGA,MÁLAGA,360614,4065819
88,MARBELLA ARCO,MARBELLA,MÁLAGA,333023,4042015
89,ALCALA DE GUADAIRA,ALCALÁ DE GUADAIRA,SEVILLA,248974,4136631
90,DOS HERMANAS,DOS HERMANAS,SEVILLA,241677,4130413
91,COBRE LAS CRUCES,GUILLENA,SEVILLA,231798,4160779
92,ALJARAFE,MAIRENA DEL ALJARAFE,SEVILLA,230473,4137017
93,SIERRA NORTE,SAN NICOLÁS DEL PUERTO,SEVILLA,265817,4208544
94,BERMEJALES,SEVILLA,SEVILLA,236063,4137554
95,CENTRO,SEVILLA,SEVILLA,235156,4142125
96,SANTA CLARA,SEVILLA,SEVILLA,238720,4143149
97,TORNEO,SEVILLA,SEVILLA,234151,4142873
98,PRINCIPES,SEVILLA,SEVILLA,233863,4140741
99,SAN JERONIMO,SEVILLA,SEVILLA,236286,4146731
